Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, OTHER","CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",(NA),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, OTHER","CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES - TREATED, MEASURED IN PCT OF AREA BEARING, AVG","CHEMICAL, OTHER","CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)","3,300",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)",(NA),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)",(NA),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BLAD = 30006)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BORAX DECAHYDRATE = 11102)","2,800",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)","6,600",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BT SUBSP KURSTAKI EVB-113-19 = 6544)",(NA),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CAPTAN = 81301)","603,100",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYFLUFENAMID = 555550)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)","30,300",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (DIFENOCONAZOLE = 128847)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FENHEXAMID = 90209)","8,600",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUDIOXONIL = 71503)","22,400",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)","14,600",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUXAPYROXAD = 138009)","7,100",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (FOSETYL-AL = 123301)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (ISOFETAMID = 270000)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)","7,200",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MONO-POTASSIUM SALT = 76416)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (MYCLOBUTANIL = 128857)","10,800",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PENTHIOPYRAD = 90112)","4,000",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (POLYOXIN D ZINC SALT = 230000)","3,300",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PROPICONAZOLE = 122101)","2,300",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYDIFLUMETOFEN = 90110)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)","10,600",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRIMETHANIL = 288201)","8,300",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (QUINOLINE = 55459)","3,600",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)","1,258,100",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TETRACONAZOLE = 120603)","1,300",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIOPHANATE-METHYL = 102001)","10,600",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (THIRAM = 79801)","269,500",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","2,338,800",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLOXYSTROBIN = 129112)","14,600",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLUMIZOLE = 128879)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)","3,900",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)","71,400",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)","89,700",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)",300,NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACEQUINOCYL = 6329)","12,800",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)","3,300",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (AZADIRACHTIN = 121701)","2,800",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BEAUVERIA BASSIANA = 128924)",(NA),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENAZATE = 586)","28,700",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENTHRIN = 128825)","4,600",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAK ABTS-1857 = 6523)",(NA),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI ABTS-351 = 6522)",(NA),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI SA-11 = 6519)",(NA),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CANOLA OIL = 11332)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)","2,000",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329)",(NA),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYANTRANILIPROLE = 90098)","1,700",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYFLUMETOFEN = 138831)","7,600",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (ETOXAZOLE = 107091)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENBUTATIN-OXIDE = 104601)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPROPATHRIN = 127901)","6,600",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FENPYROXIMATE = 129131)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLONICAMID = 128016)","6,200",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (FLUPYRADIFURONE = 122304)","5,000",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (HEXYTHIAZOX = 128849)","5,400",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (IMIDACLOPRID = 129099)","3,100",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (LAMBDA-CYHALOTHRIN = 128897)",(D),NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (MALATHION = 57701)","19,400",NA
SURVEY,2023,YEAR,NA,STATE,CALIFORNIA,06,NA,NA,NA,NA,NA,NA,00000000,NA,STRAWBERRIES,"STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (METHOXYFENOZIDE = 121027)","7,900",NA
